ret,vol,sharpe,w_RELIANCE,w_HDFCBANK,w_ICICIBANK,w_INFY,w_TCS,w_AXISBANK,w_BAJFINANCE,w_DRREDDY,w_HINDUNILVR,w_ITC,w_MARUTI,w_ONGC,w_SUNPHARMA,w_WIPRO
0.08802620409092213,0.1458133088263444,0.15791565445061714,3.9966170366998594e-18,0.0,0.16492380182865707,0.1308331140657536,0.19501254946707683,1.2169718991788052e-18,0.012028991079237718,0.15699594759825028,0.020172579310921947,0.04119820282774713,0.0070149077466516805,0.10103190135778174,0.14495868026843445,0.02582932444948768
0.08895448137934261,0.14581933296724975,0.16427507170618222,0.0,2.5145181031047178e-18,0.16531414604826442,0.129372203224688,0.1930527592217783,0.0,0.013656808193009008,0.15536210945828818,0.01996951273222599,0.0419835957188682,0.008592615241764653,0.1048997872152785,0.14228000650606076,0.025516456439774036
0.08988275866775605,0.14583740727633102,0.1706198644947691,0.0,0.0,0.16570473887757725,0.1279110365676983,0.1910937300559124,1.6050565078699035e-18,0.015284495438461339,0.15372862575693103,0.01976646627879846,0.04276895473140669,0.010169797474901815,0.10876800299888324,0.13960091830788368,0.025203233511545804
0.09081103595619999,0.14586752796944216,0.17694847040670458,0.0,2.0863824179840018e-19,0.16608715765784432,0.1264245822331692,0.1891719362743041,3.280417154195232e-19,0.016920333429352685,0.15208385813632763,0.01956724978725678,0.04357463587574591,0.011708292101377287,0.11264973777528722,0.13693165710937932,0.024880559619955552
0.0917393132446356,0.14590968628853793,0.18325934298671806,0.0,5.512326224772955e-19,0.16647661867940325,0.1249598584714159,0.18721368815193445,5.208983503835671e-19,0.01855248488489989,0.1504446356620224,0.019364633277472617,0.044361476193558715,0.013283709936150252,0.11651658998828818,0.13425540382639697,0.024570900928457363
0.09266759053305348,0.14596352171408955,0.1895514044066997,0.0,1.2004072298579715e-18,0.16686408053389162,0.12310118393591188,0.18543134067137212,0.0012489871199017047,0.019898757990699734,0.14894069290539474,0.018969915123509002,0.04491619170841643,0.014620485854220544,0.11982949823826371,0.13190787884101118,0.024270987077407432
0.09359586782147455,0.14602665059584624,0.19582636254952196,2.01095852495688e-18,0.0,0.1672530207951173,0.12067328288518087,0.183971563592474,0.003913136064249623,0.02096139848850059,0.1475047897747471,0.01838306661902323,0.045245744071292594,0.015652296915204384,0.12250540484303546,0.1299755375727558,0.02396075837841911
0.09452414510990212,0.14609861584901687,0.20208367436152402,0.0,1.884245301133879e-19,0.16764152165021437,0.11823784948175635,0.1825085550952879,0.006591249939819657,0.02202529412298386,0.14605998208283577,0.01779972786876834,0.0455717468227932,0.016689426367334104,0.12516794709391438,0.1280504809790898,0.0236562184952022
0.09545242239835205,0.1461794049765839,0.20832224897365087,0.0,0.0,0.16802802858691662,0.11581046158630597,0.18105352401760952,0.009246466007124988,0.023087020694065756,0.1446253356695642,0.017212832604867754,0.045908061310455064,0.017719015578342642,0.1278502875279025,0.12611706603493056,0.023341900381914322
0.09638069968676696,0.14626900285291364,0.21454101056751593,0.0,0.0,0.1684170863137587,0.11337278241919255,0.17959513143759775,0.0119145218770834,0.02415350524763992,0.14318411565606717,0.016632049294251702,0.04623403103916722,0.018752848976443873,0.13052118567348514,0.12418530427486484,0.023037437790447788
0.09730897697516513,0.14636739409051433,0.2207388959537334,0.0,1.2681755520346995e-18,0.168781217426812,0.11094434394000632,0.1781220356973154,0.014564607720163856,0.025224818682564723,0.14176016131164712,0.01603762918724523,0.04657463626277952,0.019782623487384004,0.13321061750739055,0.12225937119041634,0.02273793758627484
0.09823725426360674,0.14647456004133685,0.22691485985161378,0.0,0.0,0.16915881429012797,0.10851643268200606,0.17665385387981092,0.01723828758776697,0.026287527430638665,0.14033309467139152,0.015443393422902577,0.04691152473538337,0.020808909413962934,0.13588268454339483,0.12033116759153799,0.022434309751076117
0.09916553155200734,0.14659048148821435,0.23306787183691868,0.0,8.792914411466787e-19,0.16954641798026943,0.1060854780539986,0.17519322405766102,0.019911417918988695,0.02735051867433527,0.13889754012104066,0.014857090927762984,0.04724130785667314,0.02183748655637241,0.13855295057537348,0.11839897009703934,0.02212759718048513
0.10009380884044317,0.14671513797011568,0.23919691809574142,2.628283313888551e-18,2.2044340150529213e-18,0.16993399950892416,0.10365443511726599,0.17373255865050985,0.02258461126909512,0.02841357281855127,0.13746195593274846,0.014270777135756885,0.04757107767934942,0.022866067129481128,0.1412231532478657,0.11646682686251124,0.021820964647940724
0.10102208612886396,0.14684850724274537,0.24530100308965533,1.6082169630842457e-18,1.8147279355448003e-18,0.1703215243753623,0.10122331692855345,0.17227183069770882,0.02525788845299688,0.029476714153089667,0.13602634337634376,0.013684436060588204,0.04790085315397993,0.02389465224225399,0.14389326885253909,0.11453473025108592,0.021514441455497982
0.10195036341730104,0.14699056559259188,0.2513791498681279,0.0,0.0,0.17070896109749914,0.09879208399357964,0.17081100691233167,0.027931193216101886,0.030539973134197616,0.13459072423389343,0.013098023272236302,0.04823076243837107,0.024923227333260876,0.14656327215056936,0.11260269607185686,0.021208076146102168
0.10287864070570973,0.14714128785432642,0.25743040079417095,3.492004177125136e-18,6.1066930988400465e-19,0.17109629451680652,0.09636069449412683,0.16935005405526746,0.030604492030367494,0.03160340439004513,0.13315509505318082,0.012511522389691937,0.04856089047467215,0.025951795709266683,0.14923311256504249,0.11067070468713577,0.020901939634396724
