,weight,ret,vol,sharpe
RELIANCE,0.11227396007227572,0.05801111222232981,0.14509133635570814,-0.04816888418848198
HDFCBANK,0.11006121296467623,0.05801111222232981,0.14509133635570814,-0.04816888418848198
ICICIBANK,0.0,0.05801111222232981,0.14509133635570814,-0.04816888418848198
INFY,0.0942914476840514,0.05801111222232981,0.14509133635570814,-0.04816888418848198
TCS,0.08692997369120979,0.05801111222232981,0.14509133635570814,-0.04816888418848198
AXISBANK,0.04481863277633146,0.05801111222232981,0.14509133635570814,-0.04816888418848198
BAJFINANCE,0.056961508292051106,0.05801111222232981,0.14509133635570814,-0.04816888418848198
DRREDDY,0.07363494646012729,0.05801111222232981,0.14509133635570814,-0.04816888418848198
HINDUNILVR,0.06519292136102181,0.05801111222232981,0.14509133635570814,-0.04816888418848198
ITC,0.010889820196271697,0.05801111222232981,0.14509133635570814,-0.04816888418848198
MARUTI,0.05160847119297287,0.05801111222232981,0.14509133635570814,-0.04816888418848198
ONGC,0.178249130013927,0.05801111222232981,0.14509133635570814,-0.04816888418848198
SUNPHARMA,0.05695902482285678,0.05801111222232981,0.14509133635570814,-0.04816888418848198
WIPRO,0.05812895047222671,0.05801111222232981,0.14509133635570814,-0.04816888418848198
