,weight,ret,vol,sharpe
RELIANCE,0.043490506061422046,0.10712691468082468,0.15774612136943933,0.2670551536551824
HDFCBANK,0.05255423874090486,0.10712691468082468,0.15774612136943933,0.2670551536551824
ICICIBANK,0.09930364813761017,0.10712691468082468,0.15774612136943933,0.2670551536551824
INFY,0.08088205610612172,0.10712691468082468,0.15774612136943933,0.2670551536551824
TCS,0.1009365716441133,0.10712691468082468,0.15774612136943933,0.2670551536551824
AXISBANK,0.057133731221983994,0.10712691468082468,0.15774612136943933,0.2670551536551824
BAJFINANCE,0.056811931571933386,0.10712691468082468,0.15774612136943933,0.2670551536551824
DRREDDY,0.08777261805409431,0.10712691468082468,0.15774612136943933,0.2670551536551824
HINDUNILVR,0.0573186789710651,0.10712691468082468,0.15774612136943933,0.2670551536551824
ITC,0.0413203222284222,0.10712691468082468,0.15774612136943933,0.2670551536551824
MARUTI,0.06152528365240854,0.10712691468082468,0.15774612136943933,0.2670551536551824
ONGC,0.08977864750794572,0.10712691468082468,0.15774612136943933,0.2670551536551824
SUNPHARMA,0.07597635890895996,0.10712691468082468,0.15774612136943933,0.2670551536551824
WIPRO,0.09519540719301478,0.10712691468082468,0.15774612136943933,0.2670551536551824
