,RELIANCE,HDFCBANK,ICICIBANK,INFY,TCS,AXISBANK,BAJFINANCE,DRREDDY,HINDUNILVR,ITC,MARUTI,ONGC,SUNPHARMA,WIPRO
RELIANCE,1.0,0.482,0.154,0.509,0.256,0.601,0.188,0.302,0.404,0.189,0.307,0.135,0.189,0.2
HDFCBANK,0.482,1.0,0.127,0.502,0.274,0.461,0.231,0.305,0.413,0.149,0.352,0.176,0.221,0.215
ICICIBANK,0.154,0.127,1.0,0.143,0.165,0.118,0.119,0.138,0.155,0.116,0.143,0.362,0.137,0.187
INFY,0.509,0.502,0.143,1.0,0.265,0.54,0.227,0.294,0.375,0.106,0.362,0.164,0.231,0.26
TCS,0.256,0.274,0.165,0.265,1.0,0.217,0.177,0.286,0.315,0.009,0.234,0.156,0.232,0.162
AXISBANK,0.601,0.461,0.118,0.54,0.217,1.0,0.192,0.284,0.349,0.169,0.269,0.187,0.177,0.216
BAJFINANCE,0.188,0.231,0.119,0.227,0.177,0.192,1.0,0.164,0.174,0.083,0.223,0.226,0.701,0.579
DRREDDY,0.302,0.305,0.138,0.294,0.286,0.284,0.164,1.0,0.273,0.15,0.261,0.21,0.184,0.169
HINDUNILVR,0.404,0.413,0.155,0.375,0.315,0.349,0.174,0.273,1.0,0.131,0.335,0.222,0.227,0.185
ITC,0.189,0.149,0.116,0.106,0.009,0.169,0.083,0.15,0.131,1.0,0.245,0.145,0.127,0.163
MARUTI,0.307,0.352,0.143,0.362,0.234,0.269,0.223,0.261,0.335,0.245,1.0,0.229,0.249,0.247
ONGC,0.135,0.176,0.362,0.164,0.156,0.187,0.226,0.21,0.222,0.145,0.229,1.0,0.248,0.233
SUNPHARMA,0.189,0.221,0.137,0.231,0.232,0.177,0.701,0.184,0.227,0.127,0.249,0.248,1.0,0.599
WIPRO,0.2,0.215,0.187,0.26,0.162,0.216,0.579,0.169,0.185,0.163,0.247,0.233,0.599,1.0
